cluster_id,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f
51.0,0.9473684210526315,0.144,0.24999999770929787,0.8181818181818182,0.10112359550561797,0.179999998042,0.9473684210526315,0.144,0.24999999770929787
52.0,0.7096774193548387,0.29333333333333333,0.4150943354841582,0.4411764705882353,0.15789473684210525,0.2325581356529055,0.7096774193548387,0.29333333333333333,0.4150943354841582
53.0,0.38095238095238093,0.06666666666666667,0.11347517476988084,0.08333333333333333,0.013605442176870748,0.023391810452447155,0.38095238095238093,0.06666666666666667,0.11347517476988084
54.0,0.5555555555555556,0.2542372881355932,0.3488372049945917,0.26229508196721313,0.09876543209876543,0.14349775387319283,0.46296296296296297,0.211864406779661,0.2906976701108708
55.0,0.42857142857142855,0.11320754716981132,0.17910447430608156,0.06451612903225806,0.015037593984962405,0.02439024083655601,0.39285714285714285,0.10377358490566038,0.16417910117175324
56.0,0.8,0.20512820512820512,0.32653060899625164,0.65,0.1326530612244898,0.2203389802355645,0.75,0.19230769230769232,0.3061224457309455
57.0,0.5555555555555556,0.13043478260869565,0.21126760255405674,0.34615384615384615,0.06766917293233082,0.1132075444341601,0.5185185185185185,0.12173913043478261,0.19718309551180327
58.0,0.4782608695652174,0.13414634146341464,0.20952380610249438,0.09090909090909091,0.02197802197802198,0.03539822695277653,0.391304347826087,0.10975609756097561,0.17142856800725628
59.0,0.2,0.02962962962962963,0.051612900978147865,0.0,0.0,0.0,0.2,0.02962962962962963,0.051612900978147865
60.0,0.3076923076923077,0.05714285714285714,0.09638553952678189,0.038461538461538464,0.005952380952380952,0.010309276029334138,0.3076923076923077,0.05714285714285714,0.09638553952678189
61.0,0.6296296296296297,0.15178571428571427,0.24460431341648983,0.2222222222222222,0.03571428571428571,0.06153845915266282,0.5925925925925926,0.14285714285714285,0.23021582420785677
62.0,0.625,0.2542372881355932,0.3614457790216287,0.25,0.08,0.12121211753902673,0.5833333333333334,0.23728813559322035,0.33734939347946
63.0,0.4642857142857143,0.10569105691056911,0.17218542744265608,0.06896551724137931,0.011764705882352941,0.020100500022727008,0.35714285714285715,0.08130081300813008,0.13245032810490776
64.0,0.45,0.06870229007633588,0.11920529571510026,0.0,0.0,0.0,0.35,0.05343511450381679,0.0927152294899347
65.0,0.36,0.10588235294117647,0.163636360123967,0.08333333333333333,0.01834862385321101,0.03007518501215474,0.2,0.058823529411764705,0.09090908739669434
66.0,0.6470588235294118,0.21782178217821782,0.325925922157476,0.3783783783783784,0.109375,0.16969696621781458,0.5882352941176471,0.19801980198019803,0.2962962925278464
67.0,0.631578947368421,0.1276595744680851,0.2123893777335735,0.16666666666666666,0.025210084033613446,0.04379561815546924,0.5263157894736842,0.10638297872340426,0.17699114764507795
68.0,0.6818181818181818,0.18292682926829268,0.28846153512573963,0.4583333333333333,0.11956521739130435,0.18965516913198577,0.6818181818181818,0.18292682926829268,0.28846153512573963
69.0,0.7058823529411765,0.14634146341463414,0.24242423957963474,0.47058823529411764,0.07407407407407407,0.12799999764992,0.6470588235294118,0.13414634146341464,0.22222221937761455
70.0,0.6666666666666666,0.12631578947368421,0.2123893778526118,0.35294117647058826,0.049586776859504134,0.08695651957887005,0.6111111111111112,0.11578947368421053,0.19469026280836402
71.0,0.46153846153846156,0.10909090909090909,0.1764705851427336,0.23076923076923078,0.041666666666666664,0.07058823270311428,0.38461538461538464,0.09090909090909091,0.14705882043685128
72.0,0.3,0.10344827586206896,0.15384615003287322,0.0967741935483871,0.02702702702702703,0.04225351771374755,0.23333333333333334,0.08045977011494253,0.11965811584483904
73.0,0.7272727272727273,0.12598425196850394,0.2147650981541372,0.04,0.005952380952380952,0.010362692045424528,0.5,0.08661417322834646,0.1476510041944057
74.0,0.375,0.08888888888888889,0.14371257175230384,0.05714285714285714,0.011764705882352941,0.019512192290303803,0.3125,0.07407407407407407,0.11976047594392061
75.0,0.5909090909090909,0.10655737704918032,0.180555552966821,0.22727272727272727,0.029940119760479042,0.05291005085299972,0.5,0.09016393442622951,0.15277777518904326
76.0,0.375,0.0743801652892562,0.12413792827205715,0.125,0.0196078431372549,0.03389830274059195,0.3333333333333333,0.06611570247933884,0.11034482482378129
77.0,0.5357142857142857,0.15789473684210525,0.2439024355079649,0.2222222222222222,0.04918032786885246,0.08053690978424406,0.5357142857142857,0.15789473684210525,0.2439024355079649
78.0,0.7272727272727273,0.14678899082568808,0.24427480636559645,0.6818181818181818,0.10948905109489052,0.18867924289861954,0.7272727272727273,0.14678899082568808,0.24427480636559645
79.0,0.5,0.12048192771084337,0.19417475415213503,0.05,0.010526315789473684,0.017391301474480626,0.4,0.0963855421686747,0.15533980269582437
80.0,0.34615384615384615,0.07627118644067797,0.12499999704089514,0.04,0.006578947368421052,0.0112994326023817,0.34615384615384615,0.07627118644067797,0.12499999704089514
81.0,0.3684210526315789,0.08536585365853659,0.1386138583315362,0.1111111111111111,0.020618556701030927,0.03478260605519869,0.3684210526315789,0.08536585365853659,0.1386138583315362
